x,parN,RegN,Region,Parameter,Mean,Lower,Upper,Optuna,minus,plus
23,4,2,Zabaikal,gamma_2,0.363956277355793,0.322605275990435,0.417957649110477,0.331629322020853,0.0413510013653582,0.0540013717546842
24,4,3,Tyva,gamma_2,0.843186460207744,0.629279750205271,1.12511455048966,0.800669126301973,0.213906710002473,0.281928090281918
25,4,4,NSO,gamma_2,0.537301325024607,0.470510321293351,0.615448330040138,0.505749789891934,0.0667910037312561,0.0781470050155309
26,4,5,Irkutsk,gamma_2,0.353872734773539,0.31500662941457,0.398031477799583,0.324604809165713,0.0388661053589683,0.0441587430260442
29,5,1,Altay,non_treated_minus,0.438140702810436,0.40390916915904,0.461128108119016,0.4494758508277,0.0342315336513965,0.0229874053085793
30,5,2,Zabaikal,non_treated_minus,0.390060913859417,0.281419554146758,0.486837977727953,0.491078903782772,0.108641359712659,0.0967770638685357
31,5,3,Tyva,non_treated_minus,0.413597560727048,0.32850424959448,0.475995778854684,0.477410628168412,0.0850933111325683,0.0623982181276364
32,5,4,NSO,non_treated_minus,0.464475732607959,0.410665719053339,0.488999156540367,0.486140030305753,0.0538100135546195,0.0245234239324085
33,5,5,Irkutsk,non_treated_minus,0.417944742999729,0.336266342830772,0.469556916344925,0.33593283714041,0.0816784001689572,0.0516121733451966
36,6,1,Altay,non_treated_plus,0.346338445218856,0.293921365413659,0.391135112853646,0.342388086878399,0.0524170798051971,0.0447966676347895
37,6,2,Zabaikal,non_treated_plus,0.397986623386067,0.218497508474144,0.47876909237533,0.227359807347159,0.179489114911923,0.0807824689892628
38,6,3,Tyva,non_treated_plus,0.415661228746369,0.339715403327374,0.466893345658379,0.347724395624484,0.0759458254189955,0.0512321169120099
39,6,4,NSO,non_treated_plus,0.401349113291532,0.330297202079944,0.456320734064287,0.351432185706715,0.0710519112115879,0.054971620772755
40,6,5,Irkutsk,non_treated_plus,0.449731440733346,0.395615141740823,0.491264690833554,0.362393675146889,0.0541162989925233,0.0415332501002079
43,7,1,Altay,omega,0.900045844831945,0.709927971129403,1.11612586015601,0.628547274267982,0.190117873702542,0.216080015324066
44,7,2,Zabaikal,omega,0.848161477575679,0.647994607318701,1.12655487108153,0.850773431446325,0.200166870256977,0.278393393505854
45,7,3,Tyva,omega,3.03540704293573,2.35579746744533,3.48753331497051,3.62023510479262,0.679609575490406,0.452126272034778
46,7,4,NSO,omega,2.8830804999667,2.41173671745795,3.3367010746293,2.07122185267575,0.471343782508748,0.453620574662603
47,7,5,Irkutsk,omega,2.24274702598636,1.72084002740829,2.79358672869083,1.21628477389444,0.521906998578064,0.550839702704472
50,8,1,Altay,phi_m,0.428899957670102,0.356877001130046,0.503694259112886,0.324525622958729,0.0720229565400558,0.0747943014427843
51,8,2,Zabaikal,phi_m,0.340227017930659,0.279884440840555,0.412797916313351,0.343744553548668,0.0603425770901044,0.0725708983826914
52,8,3,Tyva,phi_m,0.212410128883113,0.204100399832658,0.240189928383291,0.209893492209755,0.00830972905045557,0.027779799500178
53,8,4,NSO,phi_m,0.217259759130703,0.206231795036218,0.241567739686883,0.235075414213863,0.0110279640944858,0.0243079805561794
54,8,5,Irkutsk,phi_m,0.427992675597107,0.348430744940605,0.467242509811339,0.232254591232142,0.0795619306565026,0.0392498342142317
57,9,1,Altay,phi_p,2.68472388409577,2.44992856166135,2.89799546395015,2.83971139408042,0.234795322434418,0.213271579854385
58,9,2,Zabaikal,phi_p,1.96835574730477,1.45338971041677,2.51152013727534,1.70731540501194,0.514966036888001,0.54316438997057
59,9,3,Tyva,phi_p,1.9228015483261,1.51477353388139,2.35216157503093,2.42841009652598,0.408028014444712,0.429360026704828
60,9,4,NSO,phi_p,1.87544592477269,1.53947151192039,2.28940168981992,2.25661129235725,0.3359744128523,0.413955765047234
61,9,5,Irkutsk,phi_p,2.56002645329802,2.15114347496026,2.86841565705492,2.1116876911099,0.408882978337758,0.3083892037569
64,10,1,Altay,tg,0.064806745030801,0.032610804401343,0.111280267194504,0.0406244043174013,0.0321959406294579,0.0464735221637025
65,10,2,Zabaikal,tg,0.0429428372938419,0.0179004787418247,0.0619182958920002,0.0491685513292621,0.0250423585520172,0.0189754585981583
66,10,3,Tyva,tg,0.0554085236271437,0.0306290890512196,0.0731341056186352,0.0340214370803641,0.0247794345759241,0.0177255819914915
67,10,4,NSO,tg,0.0528307716009532,0.0386574851867748,0.0681894896861276,0.0506500893687119,0.0141732864141784,0.0153587180851744
68,10,5,Irkutsk,tg,0.0596991805927324,0.0412574666204076,0.0756683755695949,0.00185791080450589,0.0184417139723248,0.0159691949768625
